Datetime,gP2,dA1,dB1,dC1,s,v,xFC1,xFC2,xFD1,xFD2,bF
2025-02-03 00:00:00,0,0.0,0.0,1.6122448979591837,1.58,0.7142857142857142,0.7,8.979591836734693,8.8,11.306122448979592,0.0
2025-02-03 00:01:00,1,0.0,0.0,1.5918367346938778,1.56,0.7142857142857142,0.7,9.081632653061224,8.9,11.387755102040817,0.0
2025-02-03 00:02:00,2,0.0,0.0,1.622448979591837,1.59,0.7142857142857142,0.7,7.346938775510205,7.2,9.683673469387756,0.0
2025-02-03 00:03:00,3,0.0,0.0,3.36734693877551,3.3,0.7142857142857142,0.7,7.346938775510205,7.2,11.428571428571427,0.0
2025-02-03 00:04:00,4,0.0,0.0,3.36734693877551,3.3,0.6122448979591837,0.6,7.448979591836735,7.3,11.428571428571427,0.0
2025-02-03 00:05:00,5,0.0,0.0,1.6326530612244898,1.6,0.6122448979591837,0.6,7.244897959183673,7.1,9.489795918367347,0.0
2025-02-03 00:06:00,6,0.0,0.0,6.061224489795918,5.9399999999999995,0.6122448979591837,0.6,8.775510204081634,8.6,15.448979591836734,0.0
2025-02-03 00:07:00,7,0.0,0.0,6.081632653061225,5.96,0.6122448979591837,0.6,8.061224489795919,7.900000000000001,14.755102040816327,0.0
2025-02-03 00:08:00,8,0.0,0.0,6.071428571428571,5.95,0.7142857142857142,0.7,6.428571428571428,6.3,13.214285714285714,0.0
2025-02-03 00:09:00,9,0.0,0.0,6.081632653061225,5.96,0.7142857142857142,0.7,6.428571428571428,6.3,13.224489795918366,0.0
2025-02-03 00:10:00,10,0.0,0.0,5.9897959183673475,5.87,0.6122448979591837,0.6,7.142857142857143,7.0,13.744897959183675,0.0
2025-02-03 00:11:00,11,0.0,0.0,6.73469387755102,6.6,0.6122448979591837,0.6,7.244897959183673,7.1,14.591836734693878,0.0
2025-02-03 00:12:00,12,0.0,0.0,6.8061224489795915,6.67,0.7142857142857142,0.7,7.755102040816325,7.599999999999999,15.275510204081632,0.0
2025-02-03 00:13:00,13,0.0,0.0,6.775510204081634,6.640000000000001,0.6122448979591837,0.6,7.959183673469388,7.800000000000001,15.346938775510203,0.0
2025-02-03 00:14:00,14,0.0,0.0,5.489795918367347,5.38,0.6122448979591837,0.6,6.326530612244898,6.2,12.428571428571427,0.0
2025-02-03 00:15:00,15,0.0,0.0,5.816326530612245,5.7,0.7142857142857142,0.7,6.428571428571428,6.3,12.959183673469386,0.0
2025-02-03 00:16:00,16,0.0,0.0,5.877551020408164,5.76,0.6122448979591837,0.6,6.530612244897959,6.4,13.020408163265309,0.0
2025-02-03 00:17:00,17,0.0,0.0,5.918367346938775,5.8,0.7142857142857142,0.7,6.530612244897959,6.4,13.163265306122451,0.0
2025-02-03 00:18:00,18,0.0,0.0,5.173469387755103,5.07,0.6122448979591837,0.6,8.571428571428573,8.4,14.35714285714286,0.0
2025-02-03 00:19:00,19,0.0,0.0,1.4081632653061227,1.3800000000000001,0.6122448979591837,0.6,8.775510204081634,8.6,10.795918367346939,0.0
2025-02-03 00:20:00,20,0.0,0.0,2.36734693877551,2.32,0.6122448979591837,0.6,6.428571428571428,6.3,9.40816326530612,0.0
2025-02-03 00:21:00,21,0.0,0.0,1.622448979591837,1.59,0.6122448979591837,0.6,6.428571428571428,6.3,8.66326530612245,0.0
2025-02-03 00:22:00,22,0.0,0.0,1.5612244897959187,1.53,0.6122448979591837,0.6,6.530612244897959,6.4,8.704081632653061,0.0
2025-02-03 00:23:00,23,0.0,0.0,1.5306122448979593,1.5,0.6122448979591837,0.6,6.530612244897959,6.4,8.673469387755102,0.0
2025-02-03 00:24:00,24,0.0,0.0,1.173469387755102,1.15,0.6122448979591837,0.6,8.16326530612245,8.0,9.948979591836736,0.0
2025-02-03 00:25:00,25,0.0,0.0,1.2040816326530615,1.1800000000000002,0.6122448979591837,0.6,8.061224489795919,7.900000000000001,9.877551020408164,0.0
2025-02-03 00:26:00,26,0.0,0.0,1.459183673469388,1.4300000000000002,0.6122448979591837,0.6,6.428571428571428,6.3,8.5,0.0
2025-02-03 00:27:00,27,0.0,0.0,2.2653061224489797,2.2199999999999998,0.6122448979591837,0.6,7.142857142857143,7.0,10.020408163265307,0.0
2025-02-03 00:28:00,28,0.0,0.0,2.2857142857142856,2.2399999999999998,0.6122448979591837,0.6,7.142857142857143,7.0,10.040816326530614,0.0
2025-02-03 00:29:00,29,0.0,0.0,1.704081632653061,1.67,0.6122448979591837,0.6,6.530612244897959,6.4,8.846938775510203,0.0
2025-02-03 00:30:00,30,0.0,0.0,1.7448979591836737,1.7100000000000002,0.6122448979591837,0.6,7.244897959183673,7.1,9.60204081632653,0.0
2025-02-03 00:31:00,31,0.0,0.0,1.6632653061224492,1.6300000000000001,0.6122448979591837,0.6,8.979591836734693,8.8,11.255102040816325,0.0
2025-02-03 00:32:00,32,0.0,0.0,1.7244897959183674,1.69,0.6122448979591837,0.6,8.877551020408163,8.7,11.214285714285715,0.0
2025-02-03 00:33:00,33,0.0,0.0,1.673469387755102,1.64,0.6122448979591837,0.6,7.346938775510205,7.2,9.63265306122449,0.0
2025-02-03 00:34:00,34,0.0,0.0,2.1530612244897966,2.1100000000000003,0.6122448979591837,0.6,7.448979591836735,7.3,10.214285714285715,0.0
2025-02-03 00:35:00,35,0.0,0.0,2.0510204081632653,2.0100000000000002,0.6122448979591837,0.6,7.448979591836735,7.3,10.112244897959183,0.0
2025-02-03 00:36:00,36,0.0,0.0,2.2653061224489797,2.2199999999999998,0.6122448979591837,0.6,8.061224489795919,7.900000000000001,10.938775510204081,0.0
2025-02-03 00:37:00,37,0.0,0.0,1.7142857142857146,1.6800000000000002,0.6122448979591837,0.6,9.285714285714286,9.1,11.612244897959185,0.0
2025-02-03 00:38:00,38,0.0,0.0,1.4285714285714284,1.4,0.6122448979591837,0.6,9.183673469387756,9.0,11.224489795918366,0.0
2025-02-03 00:39:00,39,0.0,0.0,1.469387755102041,1.44,0.6122448979591837,0.6,7.346938775510205,7.2,9.428571428571429,0.0
2025-02-03 00:40:00,40,0.0,0.0,1.5,1.47,0.6122448979591837,0.6,7.448979591836735,7.3,9.561224489795919,0.0
2025-02-03 00:41:00,41,0.0,0.0,1.1632653061224492,1.1400000000000001,0.6122448979591837,0.6,7.551020408163265,7.4,9.326530612244898,0.0
2025-02-03 00:42:00,42,0.0,0.0,1.153061224489796,1.1300000000000001,0.6122448979591837,0.6,8.36734693877551,8.2,10.13265306122449,0.0
2025-02-03 00:43:00,43,0.0,0.0,1.173469387755102,1.15,0.6122448979591837,0.6,10.408163265306122,10.2,12.193877551020408,0.0
2025-02-03 00:44:00,44,0.0,0.0,1.1224489795918366,1.1,0.6122448979591837,0.6,10.204081632653061,10.0,11.938775510204081,0.0
2025-02-03 00:45:00,45,0.0,0.0,1.0918367346938773,1.0699999999999998,0.6122448979591837,0.6,7.959183673469388,7.800000000000001,9.66326530612245,0.0
2025-02-03 00:46:00,46,0.0,0.0,1.153061224489796,1.1300000000000001,0.6122448979591837,0.6,7.448979591836735,7.3,9.214285714285715,0.0
2025-02-03 00:47:00,47,0.0,0.0,2.1020408163265305,2.06,0.6122448979591837,0.6,7.551020408163265,7.4,10.26530612244898,0.0
2025-02-03 00:48:00,48,0.0,0.0,1.8367346938775513,1.8,0.6122448979591837,0.6,7.755102040816325,7.599999999999999,10.20408163265306,0.0
2025-02-03 00:49:00,49,0.0,0.0,1.5204081632653061,1.49,0.6122448979591837,0.6,8.979591836734693,8.8,11.112244897959183,0.0
